country,Latitudes,Longitudes,Cluster
Algeria,28.0000272,2.9999825,2
Andorra,42.5407167,1.5732033,2
Argentina,-34.9964963,-64.9672817,3
Australia,-24.7761086,134.755,3
Austria,47.2000338,13.199959,3
Bahamas,24.7736546,-78.0000547,2
Belgium,50.6402809,4.6667145,3
Brazil,-10.3333333,-53.2,3
Bulgaria,42.6073975,25.4856617,3
Canada,61.0666922,-107.9917071,3
Cayman Islands,19.313299,-81.254601,3
Chile,-31.7613365,-71.3187697,1
China,35.000074,104.999927,3
Croatia,45.5643442,17.0118954,3
Cyprus,34.9823018,33.1451285,3
Czech Republic,49.8167003,15.4749544,3
Denmark,55.670249,10.3333283,3
Egypt,26.2540493,29.2675469,2
Estonia,58.7523778,25.3319078,3
Ethiopia,10.2116702,38.6521203,2
Finland,63.2467777,25.9209164,3
France,46.603354,1.8883335,3
Germany,51.0834196,10.4234469,3
Greece,38.9953683,21.9877132,3
Guernsey,49.448196,-2.58949,2
Hong Kong,22.302711,114.177216,3
Hungary,47.1817585,19.5060937,3
India,22.3511148,78.6677428,3
Ireland,52.865196,-7.9794599,3
Isle of Man,54.251186,-4.463196,2
Israel,31.5313113,34.8667654,3
Italy,42.6384261,12.674297,3
Japan,36.5748441,139.2394179,3
Jordan,31.1667049,36.941628,2
Kuwait,29.2733964,47.4979476,2
Latvia,56.8406494,24.7537645,3
Liechtenstein,47.1416307,9.5531527,3
Lithuania,55.3500003,23.7499997,3
Luxembourg,49.8158683,6.1296751,3
Malta,35.8885993,14.4476911,3
Monaco,43.7323492,7.4276832,1
Namibia,-23.2335499,17.3231107,3
Netherlands,52.5001698,5.7480821,3
New Zealand,-41.5000831,172.8344077,2
Norway,64.5731537,11.52803643954819,3
Poland,52.215933,19.134422,3
Portugal,40.0332629,-7.8896263,3
Romania,45.9852129,24.6859225,3
Russia,64.6863136,97.7453061,3
Saudi Arabia,25.6242618,42.3528328,3
Singapore,1.357107,103.8194992,3
Slovakia,48.7411522,19.4528646,3
Slovenia,45.8133113,14.4808369,3
South Korea,35.7724185,127.79654346305615,3
Spain,39.3262345,-4.8380649,3
Sweden,59.6749712,14.5208584,3
Switzerland,46.7985624,8.2319736,3
Taiwan,23.9739374,120.9820179,3
Tunisia,33.8439408,9.400138,1
Turkey,38.9597594,34.9249653,3
United Arab Emirates,24.0002488,53.9994829,3
United Kingdom,54.7023545,-3.2765753,3
United States,37.09024,-95.712891,3
United States Virgin Islands,18.335765,-64.896335,1
Uruguay,-32.8755548,-56.0201525,2
Iceland,64.9841821,-18.1059013,0
Malaysia,4.5693754,102.2656823,0
Mexico,19.4326296,-99.1331785,0
Morocco,31.1728205,-7.3362482,1
San Marino,43.9458623,12.458306,0
Barbados,13.1500331,-59.5250305,1
Colombia,2.8894434,-73.783892,1
Curacao,12.16957,-68.990021,1
Indonesia,-2.4833826,117.8902853,3
Jamaica,18.1152958,-77.1598454610168,1
Kazakhstan,47.2286086,65.2093197,1
Lebanon,33.8750629,35.843409,4
Panama,8.559559,-81.1308434,1
Paraguay,-23.3165935,-58.1693445,1
Peru,-6.8699697,-75.0458515,1
Serbia,44.02432285,21.07657433209902,1
South Africa,-28.8166236,24.991639,1
Thailand,14.8971921,100.83273,1
Ukraine,49.4871968,31.2718321,1
Bangladesh,24.4768783,90.2932426,4
Botswana,-23.1681782,24.5928742,4
Cook Islands,-21.20778,-159.775,4
Faroe Islands,61.50507,-6.76918,4
Gabon,-0.8999695,11.6899699,4
Madagascar,-18.9249604,46.4416422,4
Philippines,12.7503486,122.7312101,4
Uzbekistan,41.32373,63.9528098,4
Bermuda,32.299507,-64.790337,3
